133.4492784119/38.16942005298,133.4529988098/38.16942005298,133.4567192078/38.16942005298,133.4604396057/38.16942005298,133.4641600037/38.16942005298,133.4678804016/38.16942005298,133.4716007996/38.16942005298,133.4753211975/38.16942005298,133.4790415955/38.16942005298,133.4827619934/38.16942005298,133.4864823914/38.16942005298,133.4902027893/38.16942005298,133.4939231873/38.16942005298,133.4976435852/38.16942005298,133.5013639832/38.16942005298,133.5050843811/38.16942005298,133.5088047791/38.16942005298,133.512525177/38.16942005298,133.516245575/38.16942005298,133.5199659729/38.16942005298,133.5236863708/38.16942005298,133.5274067688/38.16942005298,133.5311271667/38.16942005298,133.5348475647/38.16942005298,133.5385679626/38.16942005298,133.5422883606/38.16942005298,133.5460087585/38.16942005298,133.5497291565/38.16942005298,133.5534495544/38.16942005298,133.5571699524/38.16942005298,133.5608903503/38.16942005298,133.5646107483/38.16942005298,133.5683311462/38.16942005298,133.5720515442/38.16942005298,133.5757719421/38.16942005298,133.5794923401/38.16942005298,133.583212738/38.16942005298,133.586933136/38.16942005298,133.5906535339/38.16942005298,133.5943739319/38.16942005298,133.5980943298/38.16942005298,133.6018147278/38.16942005298,133.6055351257/38.16942005298,133.6092555237/38.16942005298,133.6129759216/38.16942005298,133.6166963196/38.16942005298,133.6204167175/38.16942005298,133.6241371155/38.16942005298,133.6278575134/38.16942005298,133.6315779114/38.16942005298
133.4492784119/38.17201741373,133.4529988098/38.17201741373,133.4567192078/38.17201741373,133.4604396057/38.17201741373,133.4641600037/38.17201741373,133.4678804016/38.17201741373,133.4716007996/38.17201741373,133.4753211975/38.17201741373,133.4790415955/38.17201741373,133.4827619934/38.17201741373,133.4864823914/38.17201741373,133.4902027893/38.17201741373,133.4939231873/38.17201741373,133.4976435852/38.17201741373,133.5013639832/38.17201741373,133.5050843811/38.17201741373,133.5088047791/38.17201741373,133.512525177/38.17201741373,133.516245575/38.17201741373,133.5199659729/38.17201741373,133.5236863708/38.17201741373,133.5274067688/38.17201741373,133.5311271667/38.17201741373,133.5348475647/38.17201741373,133.5385679626/38.17201741373,133.5422883606/38.17201741373,133.5460087585/38.17201741373,133.5497291565/38.17201741373,133.5534495544/38.17201741373,133.5571699524/38.17201741373,133.5608903503/38.17201741373,133.5646107483/38.17201741373,133.5683311462/38.17201741373,133.5720515442/38.17201741373,133.5757719421/38.17201741373,133.5794923401/38.17201741373,133.583212738/38.17201741373,133.586933136/38.17201741373,133.5906535339/38.17201741373,133.5943739319/38.17201741373,133.5980943298/38.17201741373,133.6018147278/38.17201741373,133.6055351257/38.17201741373,133.6092555237/38.17201741373,133.6129759216/38.17201741373,133.6166963196/38.17201741373,133.6204167175/38.17201741373,133.6241371155/38.17201741373,133.6278575134/38.17201741373,133.6315779114/38.17201741373
133.4492784119/38.17461468192,133.4529988098/38.17461468192,133.4567192078/38.17461468192,133.4604396057/38.17461468192,133.4641600037/38.17461468192,133.4678804016/38.17461468192,133.4716007996/38.17461468192,133.4753211975/38.17461468192,133.4790415955/38.17461468192,133.4827619934/38.17461468192,133.4864823914/38.17461468192,133.4902027893/38.17461468192,133.4939231873/38.17461468192,133.4976435852/38.17461468192,133.5013639832/38.17461468192,133.5050843811/38.17461468192,133.5088047791/38.17461468192,133.512525177/38.17461468192,133.516245575/38.17461468192,133.5199659729/38.17461468192,133.5236863708/38.17461468192,133.5274067688/38.17461468192,133.5311271667/38.17461468192,133.5348475647/38.17461468192,133.5385679626/38.17461468192,133.5422883606/38.17461468192,133.5460087585/38.17461468192,133.5497291565/38.17461468192,133.5534495544/38.17461468192,133.5571699524/38.17461468192,133.5608903503/38.17461468192,133.5646107483/38.17461468192,133.5683311462/38.17461468192,133.5720515442/38.17461468192,133.5757719421/38.17461468192,133.5794923401/38.17461468192,133.583212738/38.17461468192,133.586933136/38.17461468192,133.5906535339/38.17461468192,133.5943739319/38.17461468192,133.5980943298/38.17461468192,133.6018147278/38.17461468192,133.6055351257/38.17461468192,133.6092555237/38.17461468192,133.6129759216/38.17461468192,133.6166963196/38.17461468192,133.6204167175/38.17461468192,133.6241371155/38.17461468192,133.6278575134/38.17461468192,133.6315779114/38.17461468192
133.4492784119/38.17721185756,133.4529988098/38.17721185756,133.4567192078/38.17721185756,133.4604396057/38.17721185756,133.4641600037/38.17721185756,133.4678804016/38.17721185756,133.4716007996/38.17721185756,133.4753211975/38.17721185756,133.4790415955/38.17721185756,133.4827619934/38.17721185756,133.4864823914/38.17721185756,133.4902027893/38.17721185756,133.4939231873/38.17721185756,133.4976435852/38.17721185756,133.5013639832/38.17721185756,133.5050843811/38.17721185756,133.5088047791/38.17721185756,133.512525177/38.17721185756,133.516245575/38.17721185756,133.5199659729/38.17721185756,133.5236863708/38.17721185756,133.5274067688/38.17721185756,133.5311271667/38.17721185756,133.5348475647/38.17721185756,133.5385679626/38.17721185756,133.5422883606/38.17721185756,133.5460087585/38.17721185756,133.5497291565/38.17721185756,133.5534495544/38.17721185756,133.5571699524/38.17721185756,133.5608903503/38.17721185756,133.5646107483/38.17721185756,133.5683311462/38.17721185756,133.5720515442/38.17721185756,133.5757719421/38.17721185756,133.5794923401/38.17721185756,133.583212738/38.17721185756,133.586933136/38.17721185756,133.5906535339/38.17721185756,133.5943739319/38.17721185756,133.5980943298/38.17721185756,133.6018147278/38.17721185756,133.6055351257/38.17721185756,133.6092555237/38.17721185756,133.6129759216/38.17721185756,133.6166963196/38.17721185756,133.6204167175/38.17721185756,133.6241371155/38.17721185756,133.6278575134/38.17721185756,133.6315779114/38.17721185756
133.4492784119/38.17980894062,133.4529988098/38.17980894062,133.4567192078/38.17980894062,133.4604396057/38.17980894062,133.4641600037/38.17980894062,133.4678804016/38.17980894062,133.4716007996/38.17980894062,133.4753211975/38.17980894062,133.4790415955/38.17980894062,133.4827619934/38.17980894062,133.4864823914/38.17980894062,133.4902027893/38.17980894062,133.4939231873/38.17980894062,133.4976435852/38.17980894062,133.5013639832/38.17980894062,133.5050843811/38.17980894062,133.5088047791/38.17980894062,133.512525177/38.17980894062,133.516245575/38.17980894062,133.5199659729/38.17980894062,133.5236863708/38.17980894062,133.5274067688/38.17980894062,133.5311271667/38.17980894062,133.5348475647/38.17980894062,133.5385679626/38.17980894062,133.5422883606/38.17980894062,133.5460087585/38.17980894062,133.5497291565/38.17980894062,133.5534495544/38.17980894062,133.5571699524/38.17980894062,133.5608903503/38.17980894062,133.5646107483/38.17980894062,133.5683311462/38.17980894062,133.5720515442/38.17980894062,133.5757719421/38.17980894062,133.5794923401/38.17980894062,133.583212738/38.17980894062,133.586933136/38.17980894062,133.5906535339/38.17980894062,133.5943739319/38.17980894062,133.5980943298/38.17980894062,133.6018147278/38.17980894062,133.6055351257/38.17980894062,133.6092555237/38.17980894062,133.6129759216/38.17980894062,133.6166963196/38.17980894062,133.6204167175/38.17980894062,133.6241371155/38.17980894062,133.6278575134/38.17980894062,133.6315779114/38.17980894062
133.4492784119/38.18240593113,133.4529988098/38.18240593113,133.4567192078/38.18240593113,133.4604396057/38.18240593113,133.4641600037/38.18240593113,133.4678804016/38.18240593113,133.4716007996/38.18240593113,133.4753211975/38.18240593113,133.4790415955/38.18240593113,133.4827619934/38.18240593113,133.4864823914/38.18240593113,133.4902027893/38.18240593113,133.4939231873/38.18240593113,133.4976435852/38.18240593113,133.5013639832/38.18240593113,133.5050843811/38.18240593113,133.5088047791/38.18240593113,133.512525177/38.18240593113,133.516245575/38.18240593113,133.5199659729/38.18240593113,133.5236863708/38.18240593113,133.5274067688/38.18240593113,133.5311271667/38.18240593113,133.5348475647/38.18240593113,133.5385679626/38.18240593113,133.5422883606/38.18240593113,133.5460087585/38.18240593113,133.5497291565/38.18240593113,133.5534495544/38.18240593113,133.5571699524/38.18240593113,133.5608903503/38.18240593113,133.5646107483/38.18240593113,133.5683311462/38.18240593113,133.5720515442/38.18240593113,133.5757719421/38.18240593113,133.5794923401/38.18240593113,133.583212738/38.18240593113,133.586933136/38.18240593113,133.5906535339/38.18240593113,133.5943739319/38.18240593113,133.5980943298/38.18240593113,133.6018147278/38.18240593113,133.6055351257/38.18240593113,133.6092555237/38.18240593113,133.6129759216/38.18240593113,133.6166963196/38.18240593113,133.6204167175/38.18240593113,133.6241371155/38.18240593113,133.6278575134/38.18240593113,133.6315779114/38.18240593113
133.4492784119/38.18500282906,133.4529988098/38.18500282906,133.4567192078/38.18500282906,133.4604396057/38.18500282906,133.4641600037/38.18500282906,133.4678804016/38.18500282906,133.4716007996/38.18500282906,133.4753211975/38.18500282906,133.4790415955/38.18500282906,133.4827619934/38.18500282906,133.4864823914/38.18500282906,133.4902027893/38.18500282906,133.4939231873/38.18500282906,133.4976435852/38.18500282906,133.5013639832/38.18500282906,133.5050843811/38.18500282906,133.5088047791/38.18500282906,133.512525177/38.18500282906,133.516245575/38.18500282906,133.5199659729/38.18500282906,133.5236863708/38.18500282906,133.5274067688/38.18500282906,133.5311271667/38.18500282906,133.5348475647/38.18500282906,133.5385679626/38.18500282906,133.5422883606/38.18500282906,133.5460087585/38.18500282906,133.5497291565/38.18500282906,133.5534495544/38.18500282906,133.5571699524/38.18500282906,133.5608903503/38.18500282906,133.5646107483/38.18500282906,133.5683311462/38.18500282906,133.5720515442/38.18500282906,133.5757719421/38.18500282906,133.5794923401/38.18500282906,133.583212738/38.18500282906,133.586933136/38.18500282906,133.5906535339/38.18500282906,133.5943739319/38.18500282906,133.5980943298/38.18500282906,133.6018147278/38.18500282906,133.6055351257/38.18500282906,133.6092555237/38.18500282906,133.6129759216/38.18500282906,133.6166963196/38.18500282906,133.6204167175/38.18500282906,133.6241371155/38.18500282906,133.6278575134/38.18500282906,133.6315779114/38.18500282906
133.4492784119/38.18759963442,133.4529988098/38.18759963442,133.4567192078/38.18759963442,133.4604396057/38.18759963442,133.4641600037/38.18759963442,133.4678804016/38.18759963442,133.4716007996/38.18759963442,133.4753211975/38.18759963442,133.4790415955/38.18759963442,133.4827619934/38.18759963442,133.4864823914/38.18759963442,133.4902027893/38.18759963442,133.4939231873/38.18759963442,133.4976435852/38.18759963442,133.5013639832/38.18759963442,133.5050843811/38.18759963442,133.5088047791/38.18759963442,133.512525177/38.18759963442,133.516245575/38.18759963442,133.5199659729/38.18759963442,133.5236863708/38.18759963442,133.5274067688/38.18759963442,133.5311271667/38.18759963442,133.5348475647/38.18759963442,133.5385679626/38.18759963442,133.5422883606/38.18759963442,133.5460087585/38.18759963442,133.5497291565/38.18759963442,133.5534495544/38.18759963442,133.5571699524/38.18759963442,133.5608903503/38.18759963442,133.5646107483/38.18759963442,133.5683311462/38.18759963442,133.5720515442/38.18759963442,133.5757719421/38.18759963442,133.5794923401/38.18759963442,133.583212738/38.18759963442,133.586933136/38.18759963442,133.5906535339/38.18759963442,133.5943739319/38.18759963442,133.5980943298/38.18759963442,133.6018147278/38.18759963442,133.6055351257/38.18759963442,133.6092555237/38.18759963442,133.6129759216/38.18759963442,133.6166963196/38.18759963442,133.6204167175/38.18759963442,133.6241371155/38.18759963442,133.6278575134/38.18759963442,133.6315779114/38.18759963442
133.4492784119/38.19019634722,133.4529988098/38.19019634722,133.4567192078/38.19019634722,133.4604396057/38.19019634722,133.4641600037/38.19019634722,133.4678804016/38.19019634722,133.4716007996/38.19019634722,133.4753211975/38.19019634722,133.4790415955/38.19019634722,133.4827619934/38.19019634722,133.4864823914/38.19019634722,133.4902027893/38.19019634722,133.4939231873/38.19019634722,133.4976435852/38.19019634722,133.5013639832/38.19019634722,133.5050843811/38.19019634722,133.5088047791/38.19019634722,133.512525177/38.19019634722,133.516245575/38.19019634722,133.5199659729/38.19019634722,133.5236863708/38.19019634722,133.5274067688/38.19019634722,133.5311271667/38.19019634722,133.5348475647/38.19019634722,133.5385679626/38.19019634722,133.5422883606/38.19019634722,133.5460087585/38.19019634722,133.5497291565/38.19019634722,133.5534495544/38.19019634722,133.5571699524/38.19019634722,133.5608903503/38.19019634722,133.5646107483/38.19019634722,133.5683311462/38.19019634722,133.5720515442/38.19019634722,133.5757719421/38.19019634722,133.5794923401/38.19019634722,133.583212738/38.19019634722,133.586933136/38.19019634722,133.5906535339/38.19019634722,133.5943739319/38.19019634722,133.5980943298/38.19019634722,133.6018147278/38.19019634722,133.6055351257/38.19019634722,133.6092555237/38.19019634722,133.6129759216/38.19019634722,133.6166963196/38.19019634722,133.6204167175/38.19019634722,133.6241371155/38.19019634722,133.6278575134/38.19019634722,133.6315779114/38.19019634722
133.4492784119/38.19279296744,133.4529988098/38.19279296744,133.4567192078/38.19279296744,133.4604396057/38.19279296744,133.4641600037/38.19279296744,133.4678804016/38.19279296744,133.4716007996/38.19279296744,133.4753211975/38.19279296744,133.4790415955/38.19279296744,133.4827619934/38.19279296744,133.4864823914/38.19279296744,133.4902027893/38.19279296744,133.4939231873/38.19279296744,133.4976435852/38.19279296744,133.5013639832/38.19279296744,133.5050843811/38.19279296744,133.5088047791/38.19279296744,133.512525177/38.19279296744,133.516245575/38.19279296744,133.5199659729/38.19279296744,133.5236863708/38.19279296744,133.5274067688/38.19279296744,133.5311271667/38.19279296744,133.5348475647/38.19279296744,133.5385679626/38.19279296744,133.5422883606/38.19279296744,133.5460087585/38.19279296744,133.5497291565/38.19279296744,133.5534495544/38.19279296744,133.5571699524/38.19279296744,133.5608903503/38.19279296744,133.5646107483/38.19279296744,133.5683311462/38.19279296744,133.5720515442/38.19279296744,133.5757719421/38.19279296744,133.5794923401/38.19279296744,133.583212738/38.19279296744,133.586933136/38.19279296744,133.5906535339/38.19279296744,133.5943739319/38.19279296744,133.5980943298/38.19279296744,133.6018147278/38.19279296744,133.6055351257/38.19279296744,133.6092555237/38.19279296744,133.6129759216/38.19279296744,133.6166963196/38.19279296744,133.6204167175/38.19279296744,133.6241371155/38.19279296744,133.6278575134/38.19279296744,133.6315779114/38.19279296744
133.4492784119/38.19538949508,133.4529988098/38.19538949508,133.4567192078/38.19538949508,133.4604396057/38.19538949508,133.4641600037/38.19538949508,133.4678804016/38.19538949508,133.4716007996/38.19538949508,133.4753211975/38.19538949508,133.4790415955/38.19538949508,133.4827619934/38.19538949508,133.4864823914/38.19538949508,133.4902027893/38.19538949508,133.4939231873/38.19538949508,133.4976435852/38.19538949508,133.5013639832/38.19538949508,133.5050843811/38.19538949508,133.5088047791/38.19538949508,133.512525177/38.19538949508,133.516245575/38.19538949508,133.5199659729/38.19538949508,133.5236863708/38.19538949508,133.5274067688/38.19538949508,133.5311271667/38.19538949508,133.5348475647/38.19538949508,133.5385679626/38.19538949508,133.5422883606/38.19538949508,133.5460087585/38.19538949508,133.5497291565/38.19538949508,133.5534495544/38.19538949508,133.5571699524/38.19538949508,133.5608903503/38.19538949508,133.5646107483/38.19538949508,133.5683311462/38.19538949508,133.5720515442/38.19538949508,133.5757719421/38.19538949508,133.5794923401/38.19538949508,133.583212738/38.19538949508,133.586933136/38.19538949508,133.5906535339/38.19538949508,133.5943739319/38.19538949508,133.5980943298/38.19538949508,133.6018147278/38.19538949508,133.6055351257/38.19538949508,133.6092555237/38.19538949508,133.6129759216/38.19538949508,133.6166963196/38.19538949508,133.6204167175/38.19538949508,133.6241371155/38.19538949508,133.6278575134/38.19538949508,133.6315779114/38.19538949508
