133.435080719/38.16023869636,133.4457145691/38.16023869636,133.4563484192/38.16023869636,133.4669822693/38.16023869636,133.4776161194/38.16023869636,133.4882499695/38.16023869636,133.4988838196/38.16023869636,133.5095176697/38.16023869636,133.5201515198/38.16023869636,133.5307853699/38.16023869636,133.54141922/38.16023869636,133.5520530701/38.16023869636,133.5626869202/38.16023869636,133.5733207703/38.16023869636,133.5839546204/38.16023869636,133.5945884705/38.16023869636,133.6052223206/38.16023869636,133.6158561707/38.16023869636,133.6264900208/38.16023869636,133.6371238708/38.16023869636
133.435080719/38.16755178157,133.4457145691/38.16755178157,133.4563484192/38.16755178157,133.4669822693/38.16755178157,133.4776161194/38.16755178157,133.4882499695/38.16755178157,133.4988838196/38.16755178157,133.5095176697/38.16755178157,133.5201515198/38.16755178157,133.5307853699/38.16755178157,133.54141922/38.16755178157,133.5520530701/38.16755178157,133.5626869202/38.16755178157,133.5733207703/38.16755178157,133.5839546204/38.16755178157,133.5945884705/38.16755178157,133.6052223206/38.16755178157,133.6158561707/38.16755178157,133.6264900208/38.16755178157,133.6371238708/38.16755178157
133.435080719/38.17486413318,133.4457145691/38.17486413318,133.4563484192/38.17486413318,133.4669822693/38.17486413318,133.4776161194/38.17486413318,133.4882499695/38.17486413318,133.4988838196/38.17486413318,133.5095176697/38.17486413318,133.5201515198/38.17486413318,133.5307853699/38.17486413318,133.54141922/38.17486413318,133.5520530701/38.17486413318,133.5626869202/38.17486413318,133.5733207703/38.17486413318,133.5839546204/38.17486413318,133.5945884705/38.17486413318,133.6052223206/38.17486413318,133.6158561707/38.17486413318,133.6264900208/38.17486413318,133.6371238708/38.17486413318
133.435080719/38.18217575114,133.4457145691/38.18217575114,133.4563484192/38.18217575114,133.4669822693/38.18217575114,133.4776161194/38.18217575114,133.4882499695/38.18217575114,133.4988838196/38.18217575114,133.5095176697/38.18217575114,133.5201515198/38.18217575114,133.5307853699/38.18217575114,133.54141922/38.18217575114,133.5520530701/38.18217575114,133.5626869202/38.18217575114,133.5733207703/38.18217575114,133.5839546204/38.18217575114,133.5945884705/38.18217575114,133.6052223206/38.18217575114,133.6158561707/38.18217575114,133.6264900208/38.18217575114,133.6371238708/38.18217575114
133.435080719/38.18948663541,133.4457145691/38.18948663541,133.4563484192/38.18948663541,133.4669822693/38.18948663541,133.4776161194/38.18948663541,133.4882499695/38.18948663541,133.4988838196/38.18948663541,133.5095176697/38.18948663541,133.5201515198/38.18948663541,133.5307853699/38.18948663541,133.54141922/38.18948663541,133.5520530701/38.18948663541,133.5626869202/38.18948663541,133.5733207703/38.18948663541,133.5839546204/38.18948663541,133.5945884705/38.18948663541,133.6052223206/38.18948663541,133.6158561707/38.18948663541,133.6264900208/38.18948663541,133.6371238708/38.18948663541
133.435080719/38.19679678594,133.4457145691/38.19679678594,133.4563484192/38.19679678594,133.4669822693/38.19679678594,133.4776161194/38.19679678594,133.4882499695/38.19679678594,133.4988838196/38.19679678594,133.5095176697/38.19679678594,133.5201515198/38.19679678594,133.5307853699/38.19679678594,133.54141922/38.19679678594,133.5520530701/38.19679678594,133.5626869202/38.19679678594,133.5733207703/38.19679678594,133.5839546204/38.19679678594,133.5945884705/38.19679678594,133.6052223206/38.19679678594,133.6158561707/38.19679678594,133.6264900208/38.19679678594,133.6371238708/38.19679678594
133.435080719/38.20410620269,133.4457145691/38.20410620269,133.4563484192/38.20410620269,133.4669822693/38.20410620269,133.4776161194/38.20410620269,133.4882499695/38.20410620269,133.4988838196/38.20410620269,133.5095176697/38.20410620269,133.5201515198/38.20410620269,133.5307853699/38.20410620269,133.54141922/38.20410620269,133.5520530701/38.20410620269,133.5626869202/38.20410620269,133.5733207703/38.20410620269,133.5839546204/38.20410620269,133.5945884705/38.20410620269,133.6052223206/38.20410620269,133.6158561707/38.20410620269,133.6264900208/38.20410620269,133.6371238708/38.20410620269
133.435080719/38.21141488561,133.4457145691/38.21141488561,133.4563484192/38.21141488561,133.4669822693/38.21141488561,133.4776161194/38.21141488561,133.4882499695/38.21141488561,133.4988838196/38.21141488561,133.5095176697/38.21141488561,133.5201515198/38.21141488561,133.5307853699/38.21141488561,133.54141922/38.21141488561,133.5520530701/38.21141488561,133.5626869202/38.21141488561,133.5733207703/38.21141488561,133.5839546204/38.21141488561,133.5945884705/38.21141488561,133.6052223206/38.21141488561,133.6158561707/38.21141488561,133.6264900208/38.21141488561,133.6371238708/38.21141488561
133.435080719/38.21872283465,133.4457145691/38.21872283465,133.4563484192/38.21872283465,133.4669822693/38.21872283465,133.4776161194/38.21872283465,133.4882499695/38.21872283465,133.4988838196/38.21872283465,133.5095176697/38.21872283465,133.5201515198/38.21872283465,133.5307853699/38.21872283465,133.54141922/38.21872283465,133.5520530701/38.21872283465,133.5626869202/38.21872283465,133.5733207703/38.21872283465,133.5839546204/38.21872283465,133.5945884705/38.21872283465,133.6052223206/38.21872283465,133.6158561707/38.21872283465,133.6264900208/38.21872283465,133.6371238708/38.21872283465
133.435080719/38.22603004977,133.4457145691/38.22603004977,133.4563484192/38.22603004977,133.4669822693/38.22603004977,133.4776161194/38.22603004977,133.4882499695/38.22603004977,133.4988838196/38.22603004977,133.5095176697/38.22603004977,133.5201515198/38.22603004977,133.5307853699/38.22603004977,133.54141922/38.22603004977,133.5520530701/38.22603004977,133.5626869202/38.22603004977,133.5733207703/38.22603004977,133.5839546204/38.22603004977,133.5945884705/38.22603004977,133.6052223206/38.22603004977,133.6158561707/38.22603004977,133.6264900208/38.22603004977,133.6371238708/38.22603004977
133.435080719/38.23333653093,133.4457145691/38.23333653093,133.4563484192/38.23333653093,133.4669822693/38.23333653093,133.4776161194/38.23333653093,133.4882499695/38.23333653093,133.4988838196/38.23333653093,133.5095176697/38.23333653093,133.5201515198/38.23333653093,133.5307853699/38.23333653093,133.54141922/38.23333653093,133.5520530701/38.23333653093,133.5626869202/38.23333653093,133.5733207703/38.23333653093,133.5839546204/38.23333653093,133.5945884705/38.23333653093,133.6052223206/38.23333653093,133.6158561707/38.23333653093,133.6264900208/38.23333653093,133.6371238708/38.23333653093
