133.4315361023/38.15780083827,133.435080719/38.15780083827,133.4386253357/38.15780083827,133.4421699524/38.15780083827,133.4457145691/38.15780083827,133.4492591858/38.15780083827,133.4528038025/38.15780083827,133.4563484192/38.15780083827,133.4598930359/38.15780083827,133.4634376526/38.15780083827,133.4669822693/38.15780083827,133.470526886/38.15780083827,133.4740715027/38.15780083827,133.4776161194/38.15780083827,133.4811607361/38.15780083827,133.4847053528/38.15780083827,133.4882499695/38.15780083827,133.4917945862/38.15780083827,133.4953392029/38.15780083827,133.4988838196/38.15780083827,133.5024284363/38.15780083827,133.505973053/38.15780083827,133.5095176697/38.15780083827,133.5130622864/38.15780083827,133.5166069031/38.15780083827,133.5201515198/38.15780083827,133.5236961365/38.15780083827,133.5272407532/38.15780083827,133.5307853699/38.15780083827,133.5343299866/38.15780083827,133.5378746033/38.15780083827,133.54141922/38.15780083827,133.5449638367/38.15780083827,133.5485084534/38.15780083827,133.5520530701/38.15780083827,133.5555976868/38.15780083827,133.5591423035/38.15780083827,133.5626869202/38.15780083827,133.5662315369/38.15780083827,133.5697761536/38.15780083827,133.5733207703/38.15780083827,133.576865387/38.15780083827,133.5804100037/38.15780083827,133.5839546204/38.15780083827,133.5874992371/38.15780083827,133.5910438538/38.15780083827,133.5945884705/38.15780083827,133.5981330872/38.15780083827,133.6016777039/38.15780083827,133.6052223206/38.15780083827,133.6087669373/38.15780083827,133.612311554/38.15780083827,133.6158561707/38.15780083827,133.6194007874/38.15780083827,133.6229454041/38.15780083827,133.6264900208/38.15780083827,133.6300346375/38.15780083827,133.6335792542/38.15780083827,133.6371238708/38.15780083827,133.6406684875/38.15780083827
133.4315361023/38.16023869636,133.435080719/38.16023869636,133.4386253357/38.16023869636,133.4421699524/38.16023869636,133.4457145691/38.16023869636,133.4492591858/38.16023869636,133.4528038025/38.16023869636,133.4563484192/38.16023869636,133.4598930359/38.16023869636,133.4634376526/38.16023869636,133.4669822693/38.16023869636,133.470526886/38.16023869636,133.4740715027/38.16023869636,133.4776161194/38.16023869636,133.4811607361/38.16023869636,133.4847053528/38.16023869636,133.4882499695/38.16023869636,133.4917945862/38.16023869636,133.4953392029/38.16023869636,133.4988838196/38.16023869636,133.5024284363/38.16023869636,133.505973053/38.16023869636,133.5095176697/38.16023869636,133.5130622864/38.16023869636,133.5166069031/38.16023869636,133.5201515198/38.16023869636,133.5236961365/38.16023869636,133.5272407532/38.16023869636,133.5307853699/38.16023869636,133.5343299866/38.16023869636,133.5378746033/38.16023869636,133.54141922/38.16023869636,133.5449638367/38.16023869636,133.5485084534/38.16023869636,133.5520530701/38.16023869636,133.5555976868/38.16023869636,133.5591423035/38.16023869636,133.5626869202/38.16023869636,133.5662315369/38.16023869636,133.5697761536/38.16023869636,133.5733207703/38.16023869636,133.576865387/38.16023869636,133.5804100037/38.16023869636,133.5839546204/38.16023869636,133.5874992371/38.16023869636,133.5910438538/38.16023869636,133.5945884705/38.16023869636,133.5981330872/38.16023869636,133.6016777039/38.16023869636,133.6052223206/38.16023869636,133.6087669373/38.16023869636,133.612311554/38.16023869636,133.6158561707/38.16023869636,133.6194007874/38.16023869636,133.6229454041/38.16023869636,133.6264900208/38.16023869636,133.6300346375/38.16023869636,133.6335792542/38.16023869636,133.6371238708/38.16023869636,133.6406684875/38.16023869636
133.4315361023/38.16267647294,133.435080719/38.16267647294,133.4386253357/38.16267647294,133.4421699524/38.16267647294,133.4457145691/38.16267647294,133.4492591858/38.16267647294,133.4528038025/38.16267647294,133.4563484192/38.16267647294,133.4598930359/38.16267647294,133.4634376526/38.16267647294,133.4669822693/38.16267647294,133.470526886/38.16267647294,133.4740715027/38.16267647294,133.4776161194/38.16267647294,133.4811607361/38.16267647294,133.4847053528/38.16267647294,133.4882499695/38.16267647294,133.4917945862/38.16267647294,133.4953392029/38.16267647294,133.4988838196/38.16267647294,133.5024284363/38.16267647294,133.505973053/38.16267647294,133.5095176697/38.16267647294,133.5130622864/38.16267647294,133.5166069031/38.16267647294,133.5201515198/38.16267647294,133.5236961365/38.16267647294,133.5272407532/38.16267647294,133.5307853699/38.16267647294,133.5343299866/38.16267647294,133.5378746033/38.16267647294,133.54141922/38.16267647294,133.5449638367/38.16267647294,133.5485084534/38.16267647294,133.5520530701/38.16267647294,133.5555976868/38.16267647294,133.5591423035/38.16267647294,133.5626869202/38.16267647294,133.5662315369/38.16267647294,133.5697761536/38.16267647294,133.5733207703/38.16267647294,133.576865387/38.16267647294,133.5804100037/38.16267647294,133.5839546204/38.16267647294,133.5874992371/38.16267647294,133.5910438538/38.16267647294,133.5945884705/38.16267647294,133.5981330872/38.16267647294,133.6016777039/38.16267647294,133.6052223206/38.16267647294,133.6087669373/38.16267647294,133.612311554/38.16267647294,133.6158561707/38.16267647294,133.6194007874/38.16267647294,133.6229454041/38.16267647294,133.6264900208/38.16267647294,133.6300346375/38.16267647294,133.6335792542/38.16267647294,133.6371238708/38.16267647294,133.6406684875/38.16267647294
133.4315361023/38.16511416801,133.435080719/38.16511416801,133.4386253357/38.16511416801,133.4421699524/38.16511416801,133.4457145691/38.16511416801,133.4492591858/38.16511416801,133.4528038025/38.16511416801,133.4563484192/38.16511416801,133.4598930359/38.16511416801,133.4634376526/38.16511416801,133.4669822693/38.16511416801,133.470526886/38.16511416801,133.4740715027/38.16511416801,133.4776161194/38.16511416801,133.4811607361/38.16511416801,133.4847053528/38.16511416801,133.4882499695/38.16511416801,133.4917945862/38.16511416801,133.4953392029/38.16511416801,133.4988838196/38.16511416801,133.5024284363/38.16511416801,133.505973053/38.16511416801,133.5095176697/38.16511416801,133.5130622864/38.16511416801,133.5166069031/38.16511416801,133.5201515198/38.16511416801,133.5236961365/38.16511416801,133.5272407532/38.16511416801,133.5307853699/38.16511416801,133.5343299866/38.16511416801,133.5378746033/38.16511416801,133.54141922/38.16511416801,133.5449638367/38.16511416801,133.5485084534/38.16511416801,133.5520530701/38.16511416801,133.5555976868/38.16511416801,133.5591423035/38.16511416801,133.5626869202/38.16511416801,133.5662315369/38.16511416801,133.5697761536/38.16511416801,133.5733207703/38.16511416801,133.576865387/38.16511416801,133.5804100037/38.16511416801,133.5839546204/38.16511416801,133.5874992371/38.16511416801,133.5910438538/38.16511416801,133.5945884705/38.16511416801,133.5981330872/38.16511416801,133.6016777039/38.16511416801,133.6052223206/38.16511416801,133.6087669373/38.16511416801,133.612311554/38.16511416801,133.6158561707/38.16511416801,133.6194007874/38.16511416801,133.6229454041/38.16511416801,133.6264900208/38.16511416801,133.6300346375/38.16511416801,133.6335792542/38.16511416801,133.6371238708/38.16511416801,133.6406684875/38.16511416801
133.4315361023/38.16755178157,133.435080719/38.16755178157,133.4386253357/38.16755178157,133.4421699524/38.16755178157,133.4457145691/38.16755178157,133.4492591858/38.16755178157,133.4528038025/38.16755178157,133.4563484192/38.16755178157,133.4598930359/38.16755178157,133.4634376526/38.16755178157,133.4669822693/38.16755178157,133.470526886/38.16755178157,133.4740715027/38.16755178157,133.4776161194/38.16755178157,133.4811607361/38.16755178157,133.4847053528/38.16755178157,133.4882499695/38.16755178157,133.4917945862/38.16755178157,133.4953392029/38.16755178157,133.4988838196/38.16755178157,133.5024284363/38.16755178157,133.505973053/38.16755178157,133.5095176697/38.16755178157,133.5130622864/38.16755178157,133.5166069031/38.16755178157,133.5201515198/38.16755178157,133.5236961365/38.16755178157,133.5272407532/38.16755178157,133.5307853699/38.16755178157,133.5343299866/38.16755178157,133.5378746033/38.16755178157,133.54141922/38.16755178157,133.5449638367/38.16755178157,133.5485084534/38.16755178157,133.5520530701/38.16755178157,133.5555976868/38.16755178157,133.5591423035/38.16755178157,133.5626869202/38.16755178157,133.5662315369/38.16755178157,133.5697761536/38.16755178157,133.5733207703/38.16755178157,133.576865387/38.16755178157,133.5804100037/38.16755178157,133.5839546204/38.16755178157,133.5874992371/38.16755178157,133.5910438538/38.16755178157,133.5945884705/38.16755178157,133.5981330872/38.16755178157,133.6016777039/38.16755178157,133.6052223206/38.16755178157,133.6087669373/38.16755178157,133.612311554/38.16755178157,133.6158561707/38.16755178157,133.6194007874/38.16755178157,133.6229454041/38.16755178157,133.6264900208/38.16755178157,133.6300346375/38.16755178157,133.6335792542/38.16755178157,133.6371238708/38.16755178157,133.6406684875/38.16755178157
133.4315361023/38.16998931362,133.435080719/38.16998931362,133.4386253357/38.16998931362,133.4421699524/38.16998931362,133.4457145691/38.16998931362,133.4492591858/38.16998931362,133.4528038025/38.16998931362,133.4563484192/38.16998931362,133.4598930359/38.16998931362,133.4634376526/38.16998931362,133.4669822693/38.16998931362,133.470526886/38.16998931362,133.4740715027/38.16998931362,133.4776161194/38.16998931362,133.4811607361/38.16998931362,133.4847053528/38.16998931362,133.4882499695/38.16998931362,133.4917945862/38.16998931362,133.4953392029/38.16998931362,133.4988838196/38.16998931362,133.5024284363/38.16998931362,133.505973053/38.16998931362,133.5095176697/38.16998931362,133.5130622864/38.16998931362,133.5166069031/38.16998931362,133.5201515198/38.16998931362,133.5236961365/38.16998931362,133.5272407532/38.16998931362,133.5307853699/38.16998931362,133.5343299866/38.16998931362,133.5378746033/38.16998931362,133.54141922/38.16998931362,133.5449638367/38.16998931362,133.5485084534/38.16998931362,133.5520530701/38.16998931362,133.5555976868/38.16998931362,133.5591423035/38.16998931362,133.5626869202/38.16998931362,133.5662315369/38.16998931362,133.5697761536/38.16998931362,133.5733207703/38.16998931362,133.576865387/38.16998931362,133.5804100037/38.16998931362,133.5839546204/38.16998931362,133.5874992371/38.16998931362,133.5910438538/38.16998931362,133.5945884705/38.16998931362,133.5981330872/38.16998931362,133.6016777039/38.16998931362,133.6052223206/38.16998931362,133.6087669373/38.16998931362,133.612311554/38.16998931362,133.6158561707/38.16998931362,133.6194007874/38.16998931362,133.6229454041/38.16998931362,133.6264900208/38.16998931362,133.6300346375/38.16998931362,133.6335792542/38.16998931362,133.6371238708/38.16998931362,133.6406684875/38.16998931362
133.4315361023/38.17242676416,133.435080719/38.17242676416,133.4386253357/38.17242676416,133.4421699524/38.17242676416,133.4457145691/38.17242676416,133.4492591858/38.17242676416,133.4528038025/38.17242676416,133.4563484192/38.17242676416,133.4598930359/38.17242676416,133.4634376526/38.17242676416,133.4669822693/38.17242676416,133.470526886/38.17242676416,133.4740715027/38.17242676416,133.4776161194/38.17242676416,133.4811607361/38.17242676416,133.4847053528/38.17242676416,133.4882499695/38.17242676416,133.4917945862/38.17242676416,133.4953392029/38.17242676416,133.4988838196/38.17242676416,133.5024284363/38.17242676416,133.505973053/38.17242676416,133.5095176697/38.17242676416,133.5130622864/38.17242676416,133.5166069031/38.17242676416,133.5201515198/38.17242676416,133.5236961365/38.17242676416,133.5272407532/38.17242676416,133.5307853699/38.17242676416,133.5343299866/38.17242676416,133.5378746033/38.17242676416,133.54141922/38.17242676416,133.5449638367/38.17242676416,133.5485084534/38.17242676416,133.5520530701/38.17242676416,133.5555976868/38.17242676416,133.5591423035/38.17242676416,133.5626869202/38.17242676416,133.5662315369/38.17242676416,133.5697761536/38.17242676416,133.5733207703/38.17242676416,133.576865387/38.17242676416,133.5804100037/38.17242676416,133.5839546204/38.17242676416,133.5874992371/38.17242676416,133.5910438538/38.17242676416,133.5945884705/38.17242676416,133.5981330872/38.17242676416,133.6016777039/38.17242676416,133.6052223206/38.17242676416,133.6087669373/38.17242676416,133.612311554/38.17242676416,133.6158561707/38.17242676416,133.6194007874/38.17242676416,133.6229454041/38.17242676416,133.6264900208/38.17242676416,133.6300346375/38.17242676416,133.6335792542/38.17242676416,133.6371238708/38.17242676416,133.6406684875/38.17242676416
133.4315361023/38.17486413318,133.435080719/38.17486413318,133.4386253357/38.17486413318,133.4421699524/38.17486413318,133.4457145691/38.17486413318,133.4492591858/38.17486413318,133.4528038025/38.17486413318,133.4563484192/38.17486413318,133.4598930359/38.17486413318,133.4634376526/38.17486413318,133.4669822693/38.17486413318,133.470526886/38.17486413318,133.4740715027/38.17486413318,133.4776161194/38.17486413318,133.4811607361/38.17486413318,133.4847053528/38.17486413318,133.4882499695/38.17486413318,133.4917945862/38.17486413318,133.4953392029/38.17486413318,133.4988838196/38.17486413318,133.5024284363/38.17486413318,133.505973053/38.17486413318,133.5095176697/38.17486413318,133.5130622864/38.17486413318,133.5166069031/38.17486413318,133.5201515198/38.17486413318,133.5236961365/38.17486413318,133.5272407532/38.17486413318,133.5307853699/38.17486413318,133.5343299866/38.17486413318,133.5378746033/38.17486413318,133.54141922/38.17486413318,133.5449638367/38.17486413318,133.5485084534/38.17486413318,133.5520530701/38.17486413318,133.5555976868/38.17486413318,133.5591423035/38.17486413318,133.5626869202/38.17486413318,133.5662315369/38.17486413318,133.5697761536/38.17486413318,133.5733207703/38.17486413318,133.576865387/38.17486413318,133.5804100037/38.17486413318,133.5839546204/38.17486413318,133.5874992371/38.17486413318,133.5910438538/38.17486413318,133.5945884705/38.17486413318,133.5981330872/38.17486413318,133.6016777039/38.17486413318,133.6052223206/38.17486413318,133.6087669373/38.17486413318,133.612311554/38.17486413318,133.6158561707/38.17486413318,133.6194007874/38.17486413318,133.6229454041/38.17486413318,133.6264900208/38.17486413318,133.6300346375/38.17486413318,133.6335792542/38.17486413318,133.6371238708/38.17486413318,133.6406684875/38.17486413318
133.4315361023/38.17730142069,133.435080719/38.17730142069,133.4386253357/38.17730142069,133.4421699524/38.17730142069,133.4457145691/38.17730142069,133.4492591858/38.17730142069,133.4528038025/38.17730142069,133.4563484192/38.17730142069,133.4598930359/38.17730142069,133.4634376526/38.17730142069,133.4669822693/38.17730142069,133.470526886/38.17730142069,133.4740715027/38.17730142069,133.4776161194/38.17730142069,133.4811607361/38.17730142069,133.4847053528/38.17730142069,133.4882499695/38.17730142069,133.4917945862/38.17730142069,133.4953392029/38.17730142069,133.4988838196/38.17730142069,133.5024284363/38.17730142069,133.505973053/38.17730142069,133.5095176697/38.17730142069,133.5130622864/38.17730142069,133.5166069031/38.17730142069,133.5201515198/38.17730142069,133.5236961365/38.17730142069,133.5272407532/38.17730142069,133.5307853699/38.17730142069,133.5343299866/38.17730142069,133.5378746033/38.17730142069,133.54141922/38.17730142069,133.5449638367/38.17730142069,133.5485084534/38.17730142069,133.5520530701/38.17730142069,133.5555976868/38.17730142069,133.5591423035/38.17730142069,133.5626869202/38.17730142069,133.5662315369/38.17730142069,133.5697761536/38.17730142069,133.5733207703/38.17730142069,133.576865387/38.17730142069,133.5804100037/38.17730142069,133.5839546204/38.17730142069,133.5874992371/38.17730142069,133.5910438538/38.17730142069,133.5945884705/38.17730142069,133.5981330872/38.17730142069,133.6016777039/38.17730142069,133.6052223206/38.17730142069,133.6087669373/38.17730142069,133.612311554/38.17730142069,133.6158561707/38.17730142069,133.6194007874/38.17730142069,133.6229454041/38.17730142069,133.6264900208/38.17730142069,133.6300346375/38.17730142069,133.6335792542/38.17730142069,133.6371238708/38.17730142069,133.6406684875/38.17730142069
133.4315361023/38.17973862667,133.435080719/38.17973862667,133.4386253357/38.17973862667,133.4421699524/38.17973862667,133.4457145691/38.17973862667,133.4492591858/38.17973862667,133.4528038025/38.17973862667,133.4563484192/38.17973862667,133.4598930359/38.17973862667,133.4634376526/38.17973862667,133.4669822693/38.17973862667,133.470526886/38.17973862667,133.4740715027/38.17973862667,133.4776161194/38.17973862667,133.4811607361/38.17973862667,133.4847053528/38.17973862667,133.4882499695/38.17973862667,133.4917945862/38.17973862667,133.4953392029/38.17973862667,133.4988838196/38.17973862667,133.5024284363/38.17973862667,133.505973053/38.17973862667,133.5095176697/38.17973862667,133.5130622864/38.17973862667,133.5166069031/38.17973862667,133.5201515198/38.17973862667,133.5236961365/38.17973862667,133.5272407532/38.17973862667,133.5307853699/38.17973862667,133.5343299866/38.17973862667,133.5378746033/38.17973862667,133.54141922/38.17973862667,133.5449638367/38.17973862667,133.5485084534/38.17973862667,133.5520530701/38.17973862667,133.5555976868/38.17973862667,133.5591423035/38.17973862667,133.5626869202/38.17973862667,133.5662315369/38.17973862667,133.5697761536/38.17973862667,133.5733207703/38.17973862667,133.576865387/38.17973862667,133.5804100037/38.17973862667,133.5839546204/38.17973862667,133.5874992371/38.17973862667,133.5910438538/38.17973862667,133.5945884705/38.17973862667,133.5981330872/38.17973862667,133.6016777039/38.17973862667,133.6052223206/38.17973862667,133.6087669373/38.17973862667,133.612311554/38.17973862667,133.6158561707/38.17973862667,133.6194007874/38.17973862667,133.6229454041/38.17973862667,133.6264900208/38.17973862667,133.6300346375/38.17973862667,133.6335792542/38.17973862667,133.6371238708/38.17973862667,133.6406684875/38.17973862667
133.4315361023/38.18217575114,133.435080719/38.18217575114,133.4386253357/38.18217575114,133.4421699524/38.18217575114,133.4457145691/38.18217575114,133.4492591858/38.18217575114,133.4528038025/38.18217575114,133.4563484192/38.18217575114,133.4598930359/38.18217575114,133.4634376526/38.18217575114,133.4669822693/38.18217575114,133.470526886/38.18217575114,133.4740715027/38.18217575114,133.4776161194/38.18217575114,133.4811607361/38.18217575114,133.4847053528/38.18217575114,133.4882499695/38.18217575114,133.4917945862/38.18217575114,133.4953392029/38.18217575114,133.4988838196/38.18217575114,133.5024284363/38.18217575114,133.505973053/38.18217575114,133.5095176697/38.18217575114,133.5130622864/38.18217575114,133.5166069031/38.18217575114,133.5201515198/38.18217575114,133.5236961365/38.18217575114,133.5272407532/38.18217575114,133.5307853699/38.18217575114,133.5343299866/38.18217575114,133.5378746033/38.18217575114,133.54141922/38.18217575114,133.5449638367/38.18217575114,133.5485084534/38.18217575114,133.5520530701/38.18217575114,133.5555976868/38.18217575114,133.5591423035/38.18217575114,133.5626869202/38.18217575114,133.5662315369/38.18217575114,133.5697761536/38.18217575114,133.5733207703/38.18217575114,133.576865387/38.18217575114,133.5804100037/38.18217575114,133.5839546204/38.18217575114,133.5874992371/38.18217575114,133.5910438538/38.18217575114,133.5945884705/38.18217575114,133.5981330872/38.18217575114,133.6016777039/38.18217575114,133.6052223206/38.18217575114,133.6087669373/38.18217575114,133.612311554/38.18217575114,133.6158561707/38.18217575114,133.6194007874/38.18217575114,133.6229454041/38.18217575114,133.6264900208/38.18217575114,133.6300346375/38.18217575114,133.6335792542/38.18217575114,133.6371238708/38.18217575114,133.6406684875/38.18217575114
